task_id,execution_time
append__1,2.178
append__2,2.171
append__3,2.166
append__4,2.161
append__5,2.156
append__6,2.15
append__7,2.133
append__8,2.12
append__9,2.097
append__10,2.068
append__11,2.045
append__12,2.034
append__13,2.022
append__14,2.002
append__15,1.984
append__16,1.963
append__17,1.958
append__18,1.941
append__19,1.932
append__20,1.909
append__21,1.9
append__22,1.874
append__23,1.863
append__24,1.848
append__25,1.826
append__26,1.813
append__27,1.792
append__28,1.782
append__29,2.103
append__30,1.745
append__31,1.726
append__32,1.713
append__33,1.7
append__34,1.676
append__35,1.643
append__36,1.623
append__37,1.6
append__38,1.584
append__39,1.594
append__40,1.551
append__41,1.534
append__42,1.508
append__43,1.608
append__44,1.551
append__45,1.47
append__46,1.454
append__47,1.85
append__48,1.49
append__49,1.532
append__50,1.371
append__51,1.475
append__52,1.442
append__53,1.226
append__54,1.211
append__55,1.192
append__56,1.338
append__57,1.266
append__58,1.12
append__59,1.269
append__60,1.269
append__61,1.238
append__62,1.034
append__63,1.231
append__64,1.209
append__65,1.329
append__66,1.179
append__67,0.926
append__68,0.909
append__69,1.134
append__70,1.122
append__71,1.128
append__72,0.791
append__73,1.042
append__74,1.05
append__75,1.028
append__76,0.661
append__77,0.975
append__78,0.957
append__79,0.946
append__80,0.55
append__81,0.913
append__82,0.867
append__83,0.474
append__84,0.51
append__85,0.425
append__86,0.411
append__87,0.382
append__88,0.344
append__89,0.482
append__90,0.68
append__91,0.506
append__92,0.28
append__93,0.621
append__94,0.613
append__95,0.594
append__96,0.262
append__97,0.256
append__98,0.233
append__99,0.271
append__100,0.233
