nr_tasks,avg_execution_time
10,0.513
100,1.337
150,1.886
16,0.268
2,0.053
20,0.328
24,0.340
32,0.596
38,0.468
4,0.081
42,0.634
54,0.564
64,0.628
72,0.845
8,0.134
