nr_tasks,avg_execution_time
10,0.571
100,1.880
150,2.478
16,0.306
2,0.146
20,0.423
24,0.429
32,0.442
38,0.460
4,0.111
42,0.662
54,0.631
64,1.015
72,0.939
8,0.295
