task_id,execution_time
append__1,4.041
append__2,4.034
append__3,4.027
append__4,4.021
append__5,4.014
append__6,4.002
append__7,3.992
append__8,3.985
append__9,3.948
append__10,3.906
append__11,3.881
append__12,3.849
append__13,3.824
append__14,3.804
append__15,3.778
append__16,3.761
append__17,3.739
append__18,3.716
append__19,3.699
append__20,3.683
append__21,3.632
append__22,3.59
append__23,3.537
append__24,3.531
append__25,3.498
append__26,3.479
append__27,3.469
append__28,3.455
append__29,3.446
append__30,3.433
append__31,3.406
append__32,3.361
append__33,3.319
append__34,3.253
append__35,3.231
append__36,3.179
append__37,3.129
append__38,3.1
append__39,3.081
append__40,3.043
append__41,3.002
append__42,2.976
append__43,2.929
append__44,2.892
append__45,2.858
append__46,2.83
append__47,2.811
append__48,2.769
append__49,2.747
append__50,2.725
append__51,2.708
append__52,2.643
append__53,2.618
append__54,2.603
append__55,2.564
append__56,2.537
append__57,2.506
append__58,2.454
append__59,2.416
append__60,2.381
append__61,2.339
append__62,2.291
append__63,2.256
append__64,2.233
append__65,2.197
append__66,2.168
append__67,2.149
append__68,2.132
append__69,2.091
append__70,2.036
append__71,2.018
append__72,2.007
append__73,1.968
append__74,1.944
append__75,1.913
append__76,1.883
append__77,1.875
append__78,1.861
append__79,1.843
append__80,1.812
append__81,1.8
append__82,1.777
append__83,1.747
append__84,1.711
append__85,1.677
append__86,1.621
append__87,1.58
append__88,1.558
append__89,1.533
append__90,1.514
append__91,1.482
append__92,1.468
append__93,1.452
append__94,1.409
append__95,1.382
append__96,1.363
append__97,1.346
append__98,1.316
append__99,1.3
append__100,1.267
append__101,1.244
append__102,1.231
append__103,1.209
append__104,1.184
append__105,1.156
append__106,1.131
append__107,1.11
append__108,1.082
append__109,1.055
append__110,1.016
append__111,1
append__112,0.976
append__113,0.964
append__114,0.944
append__115,0.93
append__116,0.91
append__117,0.899
append__118,0.882
append__119,0.847
append__120,0.825
append__121,0.804
append__122,0.783
append__123,0.765
append__124,0.754
append__125,0.738
append__126,0.716
append__127,0.697
append__128,0.68
append__129,0.634
append__130,0.62
append__131,0.596
append__132,0.567
append__133,0.512
append__134,0.49
append__135,0.473
append__136,0.456
append__137,0.433
append__138,0.41
append__139,0.387
append__140,0.341
append__141,0.324
append__142,0.297
append__143,0.283
append__144,0.258
append__145,0.24
append__146,0.217
append__147,0.207
append__148,0.233
append__149,0.171
append__150,0.184
