task_id,execution_time
download__1,0.919
download__2,0.912
download__3,0.907
download__4,0.901
download__5,0.896
download__6,0.888
download__7,0.881
download__8,0.86
download__9,0.841
download__10,0.829
download__11,0.808
download__12,0.782
download__13,0.766
download__14,0.744
download__15,0.722
download__16,0.698
download__17,0.672
download__18,0.652
download__19,0.632
download__20,0.621
download__21,0.609
download__22,0.596
download__23,0.579
download__24,0.56
download__25,0.524
download__26,0.506
download__27,0.498
download__28,0.478
download__29,0.462
download__30,0.512
download__31,0.459
download__32,0.523
download__33,0.471
download__34,0.49
download__35,0.482
download__36,0.507
download__37,0.43
download__38,0.427
download__39,0.474
download__40,0.421
download__41,0.338
download__42,0.335
