task_id,execution_time
download__1,1.505
download__2,1.498
download__3,1.492
download__4,1.486
download__5,1.48
download__6,1.474
download__7,1.465
download__8,1.458
download__9,1.449
download__10,1.432
download__11,1.415
download__12,1.39
download__13,1.374
download__14,1.361
download__15,1.346
download__16,1.312
download__17,1.298
download__18,1.275
download__19,1.269
download__20,1.248
download__21,1.226
download__22,1.197
download__23,1.178
download__24,1.157
download__25,1.138
download__26,1.127
download__27,1.105
download__28,1.071
download__29,1.054
download__30,1.021
download__31,0.954
download__32,0.949
download__33,0.9
download__34,0.882
download__35,0.858
download__36,0.836
download__37,0.793
download__38,0.776
download__39,0.722
download__40,0.707
download__41,0.691
download__42,0.659
download__43,0.629
download__44,0.604
download__45,0.579
download__46,0.558
download__47,0.537
download__48,0.527
download__49,0.515
download__50,0.508
download__51,0.485
download__52,0.473
download__53,0.44
download__54,0.427
download__55,0.404
download__56,0.387
download__57,0.359
download__58,0.349
download__59,0.347
download__60,0.343
download__61,0.338
download__62,0.312
download__63,0.273
download__64,0.314
download__65,0.31
download__66,0.325
download__67,0.285
download__68,0.256
download__69,0.267
download__70,0.217
download__71,0.25
download__72,0.227
