task_id,execution_time
download__1,3.636
download__2,3.629
download__3,3.623
download__4,3.615
download__5,3.609
download__6,3.601
download__7,3.596
download__8,3.586
download__9,3.566
download__10,3.533
download__11,3.506
download__12,3.493
download__13,3.468
download__14,3.442
download__15,3.405
download__16,3.383
download__17,3.367
download__18,3.362
download__19,3.342
download__20,3.318
download__21,3.298
download__22,3.269
download__23,3.246
download__24,3.217
download__25,3.166
download__26,3.12
download__27,3.09
download__28,3.053
download__29,3.036
download__30,3.014
download__31,2.957
download__32,2.94
download__33,2.902
download__34,2.884
download__35,2.86
download__36,2.833
download__37,2.81
download__38,2.77
download__39,2.747
download__40,2.719
download__41,2.702
download__42,2.668
download__43,2.651
download__44,2.623
download__45,2.589
download__46,2.572
download__47,2.523
download__48,2.494
download__49,2.477
download__50,2.446
download__51,2.394
download__52,2.36
download__53,2.338
download__54,2.295
download__55,2.273
download__56,2.255
download__57,2.241
download__58,2.221
download__59,2.2
download__60,2.188
download__61,2.157
download__62,2.126
download__63,2.109
download__64,2.069
download__65,2.038
download__66,2.001
download__67,1.963
download__68,1.943
download__69,1.924
download__70,1.891
download__71,1.876
download__72,1.847
download__73,1.821
download__74,1.791
download__75,1.754
download__76,1.726
download__77,1.682
download__78,1.647
download__79,1.635
download__80,1.612
download__81,1.584
download__82,1.563
download__83,1.542
download__84,1.506
download__85,1.488
download__86,1.48
download__87,1.429
download__88,1.388
download__89,1.363
download__90,1.354
download__91,1.329
download__92,1.285
download__93,1.262
download__94,1.24
download__95,1.219
download__96,1.208
download__97,1.192
download__98,1.183
download__99,1.139
download__100,1.133
download__101,1.104
download__102,1.075
download__103,1.046
download__104,1.027
download__105,1.019
download__106,1
download__107,0.978
download__108,0.958
download__109,0.938
download__110,0.971
download__111,0.915
download__112,0.942
download__113,0.891
download__114,0.934
download__115,0.934
download__116,0.934
download__117,1.023
download__118,0.904
download__119,0.781
download__120,0.813
download__121,0.845
download__122,0.802
download__123,0.77
download__124,0.729
download__125,0.677
download__126,0.805
download__127,0.778
download__128,0.762
download__129,0.788
download__130,0.805
download__131,0.632
download__132,0.805
download__133,0.766
download__134,0.854
download__135,0.806
download__136,0.693
download__137,0.764
download__138,0.596
download__139,0.688
download__140,0.631
download__141,0.657
download__142,0.588
download__143,0.623
download__144,0.57
download__145,0.566
download__146,0.546
download__147,0.55
download__148,0.549
download__149,0.53
download__150,0.527
