task_id,execution_time
download__1,0.703
download__2,0.697
download__3,0.691
download__4,0.685
download__5,0.68
download__6,0.672
download__7,0.655
download__8,0.643
download__9,0.616
download__10,0.62
download__11,0.576
download__12,0.641
download__13,0.634
download__14,0.729
download__15,0.566
download__16,0.766
download__17,0.668
download__18,0.672
download__19,0.642
download__20,0.542
download__21,0.497
download__22,0.477
download__23,0.506
download__24,0.511
download__25,0.539
download__26,0.522
download__27,0.523
download__28,0.53
download__29,0.53
download__30,0.473
download__31,0.459
download__32,0.421
