task_id,execution_time
download__1,0.736
download__2,0.73
download__3,0.726
download__4,0.72
download__5,0.716
download__6,0.709
download__7,0.696
download__8,0.688
download__9,0.674
download__10,0.657
download__11,0.621
download__12,0.596
download__13,0.58
download__14,0.561
download__15,0.543
download__16,0.507
download__17,0.493
download__18,0.477
download__19,0.462
download__20,0.432
download__21,0.41
download__22,0.373
download__23,0.36
download__24,0.341
download__25,0.319
download__26,0.308
download__27,0.296
download__28,0.289
download__29,0.312
download__30,0.307
download__31,0.323
download__32,0.256
download__33,0.292
download__34,0.291
download__35,0.262
download__36,0.257
download__37,0.236
download__38,0.218
