task_id,execution_time
download__1,1.029
download__2,1.019
download__3,1.012
download__4,1.006
download__5,0.993
download__6,0.982
download__7,0.973
download__8,0.956
download__9,0.929
download__10,0.902
download__11,0.873
download__12,0.853
download__13,0.831
download__14,0.798
download__15,0.773
download__16,0.745
download__17,0.715
download__18,0.695
download__19,0.685
download__20,0.67
download__21,0.65
download__22,0.618
download__23,0.606
download__24,0.584
download__25,0.573
download__26,0.557
download__27,0.538
download__28,0.517
download__29,0.508
download__30,0.489
download__31,0.473
download__32,0.464
download__33,0.452
download__34,0.435
download__35,0.401
download__36,0.387
download__37,0.376
download__38,0.365
download__39,0.349
download__40,0.322
download__41,0.297
download__42,0.275
download__43,0.259
download__44,0.245
download__45,0.25
download__46,0.233
download__47,0.264
download__48,0.253
download__49,0.217
download__50,0.243
download__51,0.215
download__52,0.225
download__53,0.201
download__54,0.176
