nr_tasks,avg_execution_time
10,0.548
100,1.288
150,1.747
16,0.207
2,0.107
20,0.237
24,0.253
32,0.330
38,0.371
4,0.114
42,0.403
54,0.515
64,0.588
72,0.637
8,0.152
