nr_tasks,avg_execution_time
10,0.380
100,0.795
150,1.132
16,0.145
2,0.032
20,0.137
24,0.172
32,0.175
38,0.221
4,0.047
42,0.270
54,0.337
64,0.340
72,0.374
8,0.054
