task_id,execution_time
list__1,2.341
list__2,2.334
list__3,2.329
list__4,2.323
list__5,2.319
list__6,2.3
list__7,2.276
list__8,2.257
list__9,2.228
list__10,2.209
list__11,2.175
list__12,2.148
list__13,2.118
list__14,2.108
list__15,2.086
list__16,2.079
list__17,2.049
list__18,2.024
list__19,2.002
list__20,1.983
list__21,1.965
list__22,1.951
list__23,1.911
list__24,1.892
list__25,1.867
list__26,1.841
list__27,1.821
list__28,1.799
list__29,1.78
list__30,1.744
list__31,1.726
list__32,1.706
list__33,1.689
list__34,1.673
list__35,1.651
list__36,1.616
list__37,1.568
list__38,1.546
list__39,1.524
list__40,1.512
list__41,1.503
list__42,1.477
list__43,1.442
list__44,1.426
list__45,1.401
list__46,1.389
list__47,1.378
list__48,1.35
list__49,1.326
list__50,1.305
list__51,1.269
list__52,1.246
list__53,1.223
list__54,1.195
list__55,1.163
list__56,1.15
list__57,1.094
list__58,1.078
list__59,1.068
list__60,1.049
list__61,1.036
list__62,1.01
list__63,0.961
list__64,0.941
list__65,0.909
list__66,0.884
list__67,0.876
list__68,0.865
list__69,0.841
list__70,0.823
list__71,0.805
list__72,0.763
list__73,0.746
list__74,0.724
list__75,0.712
list__76,0.682
list__77,0.658
list__78,0.648
list__79,0.644
list__80,0.64
list__81,0.622
list__82,0.603
list__83,0.581
list__84,0.571
list__85,0.553
list__86,0.522
list__87,0.504
list__88,0.493
list__89,0.462
list__90,0.438
list__91,0.393
list__92,0.364
list__93,0.36
list__94,0.321
list__95,0.35
list__96,0.311
list__97,0.299
list__98,0.338
list__99,0.265
list__100,0.29
