task_id,execution_time
list__1,1.126
list__2,1.118
list__3,1.113
list__4,1.106
list__5,1.102
list__6,1.092
list__7,1.08
list__8,1.064
list__9,1.051
list__10,1.044
list__11,1.035
list__12,1.024
list__13,1.011
list__14,0.987
list__15,0.975
list__16,0.967
list__17,0.953
list__18,0.932
list__19,0.907
list__20,0.895
list__21,0.86
list__22,0.837
list__23,0.831
list__24,0.815
list__25,0.794
list__26,0.778
list__27,0.771
list__28,0.758
list__29,0.738
list__30,0.721
list__31,0.704
list__32,0.683
list__33,0.671
list__34,0.658
list__35,0.648
list__36,0.639
list__37,0.628
list__38,0.612
list__39,0.577
list__40,0.57
list__41,0.56
list__42,0.55
list__43,0.535
list__44,0.526
list__45,0.51
list__46,0.495
list__47,0.474
list__48,0.457
list__49,0.432
list__50,0.403
list__51,0.392
list__52,0.381
list__53,0.36
list__54,0.346
list__55,0.344
list__56,0.334
list__57,0.319
list__58,0.309
list__59,0.288
list__60,0.272
list__61,0.262
list__62,0.245
list__63,0.259
list__64,0.222
list__65,0.209
list__66,0.216
list__67,0.226
list__68,0.228
list__69,0.237
list__70,0.211
list__71,0.184
list__72,0.179
