nr_tasks,avg_execution_time
10,1.251
100,2.993
150,3.731
16,1.342
2,0.322
20,1.541
24,2.486
32,2.175
38,1.830
4,0.127
42,1.890
54,1.733
64,2.604
72,1.317
8,0.207
