nr_tasks,avg_execution_time
10,0.928
100,6.726
150,11.348
16,4.015
2,0.227
20,5.328
24,7.940
32,3.579
38,4.808
4,0.849
42,4.147
54,5.233
64,4.806
72,1.948
8,0.261
