nr_tasks,avg_execution_time
10,0.451
100,1.341
150,1.845
16,0.197
2,0.052
20,0.275
24,0.281
32,0.536
38,0.439
4,0.078
42,0.674
54,0.473
64,0.694
72,0.627
8,0.111
