nr_tasks,avg_execution_time
10,0.504
100,1.500
150,2.034
16,0.292
2,0.070
20,0.296
24,0.437
32,0.386
38,0.423
4,0.083
42,0.623
54,0.565
64,1.032
72,0.732
8,0.125
