task_id,execution_time
download__1,3.431
download__2,3.424
download__3,3.42
download__4,3.414
download__5,3.389
download__6,3.372
download__7,3.346
download__8,3.309
download__9,3.284
download__10,3.251
download__11,3.233
download__12,3.202
download__13,3.187
download__14,3.179
download__15,3.156
download__16,3.143
download__17,3.128
download__18,3.107
download__19,3.066
download__20,3.025
download__21,2.997
download__22,2.974
download__23,2.932
download__24,2.9
download__25,2.825
download__26,2.768
download__27,2.7
download__28,2.67
download__29,2.649
download__30,2.576
download__31,2.531
download__32,2.491
download__33,2.456
download__34,2.413
download__35,2.381
download__36,2.345
download__37,2.304
download__38,2.278
download__39,2.222
download__40,2.2
download__41,2.166
download__42,2.131
download__43,2.1
download__44,2.052
download__45,2.002
download__46,1.967
download__47,1.932
download__48,1.882
download__49,1.877
download__50,1.834
download__51,1.8
download__52,1.781
download__53,1.761
download__54,1.713
download__55,1.674
download__56,1.601
download__57,1.577
download__58,1.531
download__59,1.49
download__60,1.422
download__61,1.417
download__62,1.39
download__63,1.362
download__64,1.342
download__65,1.302
download__66,1.235
download__67,1.168
download__68,1.131
download__69,1.074
download__70,1.044
download__71,1.031
download__72,1.012
download__73,1.001
download__74,0.967
download__75,0.908
download__76,0.892
download__77,0.831
download__78,0.793
download__79,0.781
download__80,0.766
download__81,0.747
download__82,0.699
download__83,0.735
download__84,0.671
download__85,0.86
download__86,0.63
download__87,0.59
download__88,0.736
download__89,0.836
download__90,0.676
download__91,0.644
download__92,0.769
download__93,0.704
download__94,0.737
download__95,0.707
download__96,0.644
download__97,0.561
download__98,0.571
download__99,0.529
download__100,0.54
