task_id,execution_time
download__1,0.656
download__2,0.643
download__3,0.637
download__4,0.631
download__5,0.625
download__6,0.613
download__7,0.604
download__8,0.591
download__9,0.581
download__10,0.568
download__11,0.55
download__12,0.53
download__13,0.509
download__14,0.493
download__15,0.469
download__16,0.442
download__17,0.424
download__18,0.388
download__19,0.41
download__20,0.343
download__21,0.334
download__22,0.304
download__23,0.312
download__24,0.296
download__25,0.258
download__26,0.346
download__27,0.31
download__28,0.278
download__29,0.263
download__30,0.268
download__31,0.245
download__32,0.237
