task_id,execution_time
download__1,1.007
download__2,1
download__3,0.996
download__4,0.988
download__5,0.981
download__6,0.973
download__7,0.942
download__8,0.935
download__9,0.907
download__10,0.897
download__11,0.88
download__12,0.864
download__13,0.838
download__14,0.823
download__15,0.792
download__16,0.771
download__17,0.764
download__18,0.742
download__19,0.716
download__20,0.699
download__21,0.682
download__22,0.642
download__23,0.639
download__24,0.646
download__25,0.605
download__26,0.618
download__27,0.551
download__28,0.482
download__29,0.539
download__30,0.547
download__31,0.472
download__32,0.42
download__33,0.456
download__34,0.365
download__35,0.438
download__36,0.37
download__37,0.338
download__38,0.303
download__39,0.321
download__40,0.301
download__41,0.287
download__42,0.26
