task_id,execution_time
download__1,1.595
download__2,1.584
download__3,1.577
download__4,1.571
download__5,1.566
download__6,1.554
download__7,1.542
download__8,1.516
download__9,1.505
download__10,1.486
download__11,1.47
download__12,1.458
download__13,1.443
download__14,1.428
download__15,1.416
download__16,1.388
download__17,1.368
download__18,1.354
download__19,1.339
download__20,1.319
download__21,1.304
download__22,1.292
download__23,1.28
download__24,1.257
download__25,1.241
download__26,1.229
download__27,1.215
download__28,1.183
download__29,1.15
download__30,1.135
download__31,1.128
download__32,1.117
download__33,0.958
download__34,0.943
download__35,0.929
download__36,0.904
download__37,0.87
download__38,0.839
download__39,0.821
download__40,0.8
download__41,0.769
download__42,0.754
download__43,0.727
download__44,0.708
download__45,0.688
download__46,0.666
download__47,0.642
download__48,0.633
download__49,0.616
download__50,0.598
download__51,0.576
download__52,0.557
download__53,0.533
download__54,0.517
download__55,0.483
download__56,0.444
download__57,0.426
download__58,0.393
download__59,0.382
download__60,0.359
download__61,0.468
download__62,0.395
download__63,0.427
download__64,0.499
download__65,0.4
download__66,0.419
download__67,0.361
download__68,0.359
download__69,0.456
download__70,0.444
download__71,0.425
download__72,0.406
