task_id,execution_time
list__1,1.459
list__2,1.452
list__3,1.446
list__4,1.44
list__5,1.435
list__6,1.421
list__7,1.412
list__8,1.393
list__9,1.382
list__10,1.364
list__11,1.355
list__12,1.342
list__13,1.325
list__14,1.305
list__15,1.297
list__16,1.288
list__17,1.273
list__18,1.259
list__19,1.246
list__20,1.229
list__21,1.202
list__22,1.194
list__23,1.188
list__24,1.179
list__25,1.166
list__26,1.143
list__27,1.132
list__28,1.125
list__29,1.104
list__30,1.081
list__31,1.074
list__32,1.064
list__33,1.051
list__34,1.026
list__35,1.014
list__36,1
list__37,0.995
list__38,0.983
list__39,0.965
list__40,0.955
list__41,0.944
list__42,0.932
list__43,0.923
list__44,0.912
list__45,0.902
list__46,0.882
list__47,0.871
list__48,0.853
list__49,0.829
list__50,0.815
list__51,0.803
list__52,0.791
list__53,0.777
list__54,0.764
list__55,0.754
list__56,0.741
list__57,0.733
list__58,0.725
list__59,0.69
list__60,0.675
list__61,0.665
list__62,0.643
list__63,0.607
list__64,0.586
list__65,0.573
list__66,0.558
list__67,0.54
list__68,0.533
list__69,0.517
list__70,0.5
list__71,0.487
list__72,0.47
list__73,0.456
list__74,0.442
list__75,0.431
list__76,0.422
list__77,0.407
list__78,0.389
list__79,0.373
list__80,0.356
list__81,0.341
list__82,0.332
list__83,0.319
list__84,0.313
list__85,0.293
list__86,0.279
list__87,0.267
list__88,0.257
list__89,0.247
list__90,0.23
list__91,0.223
list__92,0.207
list__93,0.185
list__94,0.177
list__95,0.165
list__96,0.151
list__97,0.144
list__98,0.126
list__99,0.101
list__100,0.083
